GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
80,7,0.000,0.000,0.000,AStar,2842.926,90,6688.000,7529,0
80,7,0.000,0.000,0.000,GBFS,13.641,95,7352.000,592,0
80,7,0.000,0.000,0.000,JPS,19.745,82,6457.000,982,0
80,7,0.000,0.000,0.000,ILSWithAStar,184.906,91,6739.000,1698,3
80,7,0.000,0.000,0.000,ILSWithGBFS,13.580,95,7396.000,592,1
80,7,0.000,0.000,0.000,AStar,2944.824,90,6688.000,7529,0
80,7,0.000,0.000,0.000,GBFS,13.123,95,7352.000,592,0
80,7,0.000,0.000,0.000,JPS,20.020,82,6457.000,982,0
80,7,0.000,0.000,0.000,ILSWithAStar,184.570,91,6739.000,1698,3
80,7,0.000,0.000,0.000,ILSWithGBFS,13.641,95,7396.000,592,1
80,7,0.000,0.000,0.000,AStar,2975.494,90,6688.000,7529,0
80,7,0.000,0.000,0.000,GBFS,13.214,95,7352.000,592,0
80,7,0.000,0.000,0.000,JPS,20.935,82,6457.000,982,0
80,7,0.000,0.000,0.000,ILSWithAStar,185.303,91,6739.000,1698,3
80,7,0.000,0.000,0.000,ILSWithGBFS,13.763,95,7396.000,592,1
80,7,0.000,0.000,0.000,AStar,2958.252,90,6688.000,7529,0
80,7,0.000,0.000,0.000,GBFS,13.245,95,7352.000,592,0
80,7,0.000,0.000,0.000,JPS,21.271,82,6457.000,982,0
80,7,0.000,0.000,0.000,ILSWithAStar,187.866,91,6739.000,1698,3
80,7,0.000,0.000,0.000,ILSWithGBFS,14.282,95,7396.000,592,1
80,7,0.000,0.000,0.000,AStar,3007.996,90,6688.000,7529,0
80,7,0.000,0.000,0.000,GBFS,13.184,95,7352.000,592,0
80,7,0.000,0.000,0.000,JPS,26.337,82,6457.000,982,0
80,7,0.000,0.000,0.000,ILSWithAStar,212.860,91,6739.000,1698,3
80,7,0.000,0.000,0.000,ILSWithGBFS,13.611,95,7396.000,592,1
80,7,0.000,0.000,0.000,AStar,2952.026,90,6688.000,7529,0
80,7,0.000,0.000,0.000,GBFS,13.000,95,7352.000,592,0
80,7,0.000,0.000,0.000,JPS,20.142,82,6457.000,982,0
80,7,0.000,0.000,0.000,ILSWithAStar,179.596,91,6739.000,1698,3
80,7,0.000,0.000,0.000,ILSWithGBFS,13.428,95,7396.000,592,1
80,7,0.000,0.000,0.000,AStar,2946.808,90,6688.000,7529,0
80,7,0.000,0.000,0.000,GBFS,13.214,95,7352.000,592,0
80,7,0.000,0.000,0.000,JPS,19.897,82,6457.000,982,0
80,7,0.000,0.000,0.000,ILSWithAStar,180.847,91,6739.000,1698,3
80,7,0.000,0.000,0.000,ILSWithGBFS,13.519,95,7396.000,592,1
80,7,0.000,0.000,0.000,AStar,2952.942,90,6688.000,7529,0
80,7,0.000,0.000,0.000,GBFS,14.099,95,7352.000,592,0
80,7,0.000,0.000,0.000,JPS,19.928,82,6457.000,982,0
