GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,SpaceTaken,PathLength,PathCost,CorridorIterations
10,10,33.000,50.000,75.000,AStar,3.443,0.000,8,52.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,62.479,0.000,8,47.000,3
10,10,33.000,50.000,75.000,GBFS,0.654,0.000,7,50.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,19.234,0.000,7,50.000,1
10,10,33.000,50.000,75.000,AStar,2.106,0.000,8,52.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,59.282,0.000,8,47.000,3
10,10,33.000,50.000,75.000,GBFS,0.109,0.000,7,50.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,19.964,0.000,7,50.000,1
10,10,33.000,50.000,75.000,AStar,2.069,0.000,8,52.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,59.740,0.000,8,47.000,3
10,10,33.000,50.000,75.000,GBFS,0.107,12288.000,7,50.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,18.789,0.000,7,50.000,1
10,10,33.000,50.000,75.000,AStar,2.077,0.000,8,52.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,61.575,0.000,8,47.000,3
10,10,33.000,50.000,75.000,GBFS,0.111,0.000,7,50.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,20.048,0.000,7,50.000,1
10,10,33.000,50.000,75.000,AStar,2.214,0.000,8,52.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,58.147,0.000,8,47.000,3
10,10,33.000,50.000,75.000,GBFS,0.105,0.000,7,50.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,20.969,0.000,7,50.000,1
10,10,33.000,50.000,75.000,AStar,2.073,0.000,8,52.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,59.359,0.000,8,47.000,3
10,10,33.000,50.000,75.000,GBFS,0.109,0.000,7,50.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,20.084,-8192.000,7,50.000,1
10,10,33.000,50.000,75.000,AStar,2.098,0.000,8,52.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,58.453,0.000,8,47.000,3
10,10,33.000,50.000,75.000,GBFS,0.111,0.000,7,50.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,19.255,0.000,7,50.000,1
10,10,33.000,50.000,75.000,AStar,2.085,0.000,8,52.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,58.680,0.000,8,47.000,3
10,10,33.000,50.000,75.000,GBFS,0.111,0.000,7,50.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,19.880,0.000,7,50.000,1
10,10,33.000,50.000,75.000,AStar,2.083,0.000,8,52.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,57.236,0.000,8,47.000,3
10,10,33.000,50.000,75.000,GBFS,0.109,0.000,7,50.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,19.150,0.000,7,50.000,1
10,10,33.000,50.000,75.000,AStar,2.090,0.000,8,52.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,60.308,12288.000,8,47.000,3
10,10,33.000,50.000,75.000,GBFS,0.113,0.000,7,50.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,19.575,0.000,7,50.000,1
