GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
16,7,0.000,0.000,0.000,AStar,3.916,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.492,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.738,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.502,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.742,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.490,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.748,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.488,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.734,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.498,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.744,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.488,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.740,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.490,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.738,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.492,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.740,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.498,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.772,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.483,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.751,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.509,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.755,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.500,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.744,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.496,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.713,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.481,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.727,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.488,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.742,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.496,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.736,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.494,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.725,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.488,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.729,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.479,18,30.000,97,1
16,7,0.000,0.000,0.000,AStar,0.717,20,30.000,236,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.484,18,30.000,97,1
